object_id,name,description,group,img_name
10619966,Подвеска с привесками,,Археология,27827898.jpg
10619963,Пряжка,,Археология,27827852.jpg
10679777,Фрагмент тигля,,Археология,7876257.jpg
10670559,Височное кольцо,,Археология,27840595.jpg
43796281,Стенка сосуда (фрагмент) с ямочным орнаментом,,Археология,53886514.jpg
10343728,"Край сковородки красноглиняной, лепной, с плоскимдном. Полный профиль. III в.",,Археология,41224952.jpg
47854153,Фрагмент стенки сосуда.,С ямочно-гребенчатой орнаментацией.,Археология,59289774.jpg
47728742,Пряслице розового цвета,,Археология,59108962.jpg
43789482,Пряслице  из коллекции предметов с жертвенного места Чёртово городище у станции Исеть,,Археология,53877326.jpg
43793540,Стенка сосуда (фрагмент) прямого венчика с сетчатой поверхностью  и ямчатым орнаментом,"с сетчатой поверхностью и ямчатым орнаментом. Срез прямой, по нему косые оттиски гребенчатого штампа. на внутренней стороне - расчёсы.",Археология,53883116.jpg
43795683,Бусина,фаянсовая.,Археология,53885698.jpg
10670553,Щиток подвески,,Археология,27827883.jpg
10669758,Браслет (фрагмент),"стеклянный, гладкий, темно-зеленый.",Археология,7861956.jpg
43793424,Образец керамики с ямочно-гребенчатым орнаментом,Коллекция керамики с ямочно-гребенчатым орнаментом. Собрана в местности Старцев остров Белозерского района.,Археология,53882985.jpg
46774383,Бусина,"группа - одноцветные, отдел - круглые, тип - цилиндрические, с усеченно-конусовидными фасками. Стекло синее, прозрачное.",Археология,57805336.jpg
10332622,Край горла гераклейской амфоры  [AKOPNO∑] . III -II в.до н.э.,,Археология,41222605.jpg
43789467, Фрагмент стенки сосуда из коллекции предметов с жертвенного места Чёртово городище у станции Исеть,,Археология,53877312.jpg
49036495,Фрагмент керамики,,Археология,61024732.jpg
46778479,Обломок,"кремневый, серо-голубого цвета.",Археология,57810169.jpg
43789455, Кусок железа (меди?) из коллекции предметов с жертвенного места Чёртово городище у станции Исеть,,Археология,53877301.jpg
10669769,Браслет (фрагмент),"стеклянный, гладкий, темно-коричневый.",Археология,7861970.jpg
43785750,Осколок обсидиана,,Археология,53871323.jpg
10332807,Край горла гераклейской амфоры с клеймом. ,,Археология,41226883.jpg
46774366,Бусина,сердоликовая.,Археология,57805319.jpg
46780595,Чешуйка,"кремневая, серо-голубого цвета.",Археология,57812965.jpg
43788607,"Сосуд красноглиняный, венчик (фрагмент)",,Археология,53875260.jpg
46775505,Бусина,"группа - одноцветные, отдел - круглые, тип - кольцеобразные, бисер (?). Стекло зелено-голубое, полупрозрачное.",Археология,57806632.jpg
10670567,Височное кольцо (фрагмент),,Археология,27840510.jpg
43794720,"Предмет археологии. Фрагмент стенки сосуда. Западная Сибирь, Южно-таёжное Прииртышье, культовое место Усть-Тара ХХХIII, V тыс. до н. э. Автор раскопок Скандаков И. Е., 1991 г.","Фрагмент керамического сосуда аморфной формы. Цвет внешнего и внутреннего бортов светло-коричневый. Орнаментирован по внешнему борту. Два горизонтальных ряда протащенной палочки. Поверх наложен горизонтальный зигзагообразный ряд овальных ямок 0,9 х 0,5 см, не образующих на внутреннем борте жемчужины. Ниже - два горизонтальных ряда отступающей палочки.",Археология,53884519.jpg
46770800,Фрагмент лепного сосуда серо-коричневого цвета,,Археология,57801046.jpg
43796551,Бусина,фаянсовая.,Археология,53887039.jpg
8380104,Зеркало медалевидное с остатками ремешка в петельке,"Зеркало медалевидное с остатками ремешка в петельке, бронзовое (полевой шифр СХ2\5-36)",Археология,4613693.jpg
10434939,Сосуд лепной сероглиняный  баночной формы. II – III вв. до н.э.,,Археология,41363860.jpg
43788915,Фрагмент стенок мареных сосудов.,,Археология,53875707.jpg
43793826,Стенка сосуда (фрагмент) прямого венчика эпохи бронзы с редким тычковым орнаментом,"Срез прямой, по нему косые оттиски гребенчатого шщтампа, валик смят наружу",Археология,53883334.jpg
43788890,Фрагмент венчика миски мареной с незначительным лощением.,(в наборе 24 предм),Археология,53875684.jpg
10660579,Полусферическая бляшка от украшения.,Бляшка имеет отверстие  по центру для крепления к ремню.  Края по контуру имеют волнообразный профиль.,Археология,7850328.jpg
10442748,Флакон красноглиняный амфоровидной формы.  III – II вв. до н.э.,,Археология,41363881.jpg
10670536,Крестик-тельник,,Археология,27827882.jpg
1450164,Нож. Коллекция: Материалы раскопок селища Весь в 1987 г.,,Археология,53886354.jpg
43793821,Стенка сосуда (фрагмент) с ямочным орнаментом. Площадь обломка 1 - 1:5 см,,Археология,53883329.jpg
1450411,Браслета фрагмент. Коллекция: Материалы раскопок селища Весь в 1988 г.,,Археология,53887282.jpg
10688886,Подвеска нашивная.,"Бронзовая, состоящая из двух блях и бубенчика, соединенных в ""цепочку"" верхняя бляха – округлой формы со сквозными отверстиями, образующими внутри окружности окружность, внутри которой выполнен контур квадрата по наружной стороне первой окружности имеются четыре утолщения округлой формы с тонкими продольными линиями, одно со сквозным округлым отверстием для крепления. Наружная поверхность окружностей и квадрата украшены поперечными выпуклыми точками. К петле разъемным звеном укреплена бляха округлой формы со сквозными отверстиями, образующими крест. Поверхность окружности украшена частыми поперечными насечками. Книзу этой бляхи подвешен, на неразъемной петельке, бубенчик овальной формы, украшенный поясом прочерченной ромбической сетки, ограниченной поясами прочерченных горизонтальных линий, в нижней части – щелевая прорезь - резонатор неправильной формы.",Археология,7888038.jpg
43795053,Скол камня,Отходы камнеобработки,Археология,53884791.jpg
43796562,Бусина,"стеклянная, округлой формы.",Археология,53887048.jpg
46780203,Бусина,свинцовая.,Археология,57812383.jpg
47728368,Осколок глиняного сосуда с кругло-ямочным крупным орнаментом,,Археология,59108571.jpg
1450205,Нож. Коллекция: Материалы раскопок селища Весь в 1987 г.,,Археология,53886302.jpg
10314737,"Унгвентарий - флакон, красноглиняный веретенообразной формы. III–II в до н.э.",,Археология,41226693.jpg
10679586,Фрагмент керамики,,Археология,7876005.jpg
10335136,Фрагмент венчика красноглиняной чаши с процарапанным  клеймом …АВН. II-III вв.,,Археология,41202246.jpg
43793402,Образец керамики с ямочно-гребенчатым орнаментом,Коллекция керамики с ямочно-гребенчатым орнаментом. Собрана в местности Старцев остров Белозерского района.,Археология,53882972.jpg
43795692,Сосуда фрагмент,"темноглиняного, лепного, с лощением.",Археология,53885703.jpg
43796323,Стенка сосуда (фрагмент) с сетчатым орнаментом,,Археология,53886557.jpg
49040077,"Гвоздь, фрагмент",Четырехгранный,Археология,61029051.jpg
10335502,"Фрагмент краснолаковой чаши, с высоким отогнутым наружу краем венчика, на кольцевом поддоне (восстановленный профиль).  IV в.",,Археология,41201079.jpg
43788505,Плитка керамическая отделочная (фрагмент),,Археология,53875206.jpg
49038821,"Гвоздь, фрагмент","Четырехгранный, шляпка большая",Археология,61027837.jpg
49038852,Гвоздь,Четырехгранный,Археология,61027864.jpg
10669777,Пряслице,"глиняное, точеное, сверленое, из стенки сосуда.",Археология,7861980.jpg
43794535,Зуб мамонта,,Археология,54021735.jpg
43793799,Стенка сосуда (фрагмент) с тычковым орнаментом,,Археология,53883319.jpg
43787257,"Сосуд красноглиняный, венчик (фрагмент)",,Археология,53872852.jpg
10619967,Нож,,Археология,27840521.jpg
10669839,Игрушка - коник (фрагмент - шея),"красноглиняная, лепная, со сплошным белым ангобом.",Археология,7862049.jpg
43786653,Образец керамики с ямочно-гребенчатым орнаментом,Коллекция керамики с ямочно-гребенчатым орнаментом. Собрана в деревне Яковлевское Белозерского района.,Археология,53871808.jpg
10501475,Голова в тиаре,,Графика,7635001.jpg
10501388,Пошли мимо Садко девицы-красавицы... ,,Графика,7634827.jpg
4192138,"Туз червей, из колоды карт игральных, трансформационных ""Карточная шутка""",,Графика,22971804.jpg
22828057,"Иллюстрации к Библии (Сошествие Христа во Ад), гравюра",,Графика,24669505.jpg
4408816,"Тарок ХХ - LE JUGEMENT (суждение, справедливость), из колоды карт игральных ""Марсельский тарок""",,Графика,22970640.jpg
4198459,Тележка с газированной водой. Рисунок,,Графика,24794181.jpg
9991584,Иконный образец. Святитель Николай.,,Графика,6863389.jpg
4278111,"Тройка треф, из колоды карт игральных, антирелигиозных.",,Графика,22969545.jpg
34944276,Милютин Дмитрий Алексеевич,,Графика,41571751.jpg
10560092,Графика. Портрет графа Остермана Андрея Ивановича (1666-1747).,"В овале поясное изображение 3/4 влево.В длинном парике,с орденской лентой и звездой Андрея Первозванного.",Графика,7712681.jpg
10501428,Пейзаж с фигурой святого,,Графика,7634874.jpg
4201274,"Обложка книги ""Фата Моргана (Мужики)"" Я.А. Мамонтова (по повести М.М. Коцюбинского). Рисунок",,Графика,24793366.jpg
