object_id,name,description,group,img_name
10679804,Фрагмент тигля,,Археология,7876293.jpg
43796527,Бусина,стеклянная.,Археология,53887013.jpg
43796299,Стенка сосуда (фрагмент) с сетчатым орнаментом,,Археология,53886537.jpg
46776123,Бусина,стеклянная.,Археология,57807407.jpg
43796824,Фрагмент керамики,,Археология,53887374.jpg
1446318,Гребень. Коллекция: Материалы раскопок селища Весь в 1988 г.,,Археология,53886016.jpg
43788631,"Сосуд красноглиняный, донце со стенками (фрагмент)",,Археология,53875279.jpg
43797527,Фрагмент керамики,,Археология,53888530.jpg
10670549,Подвеска бутылковидная,,Археология,27840535.jpg
46770772,Фрагмент самолепного сосуда серого цвета,,Археология,57801016.jpg
10619988,Стержень с расклепанным концом,,Археология,27827983.jpg
43790164,Фрагмент стенки сосуда,,Археология,53878779.jpg
47853891,Стенка лепного сосуда. Эпоха раннего железа,"Стенка лепного сосуда, фрагмент без орнамента, темно-серого и серого цветов.",Археология,59289282.jpg
43790133,Фрагмент стенки сосуда,,Археология,53878763.jpg
43790154,Фрагмент стенки сосуда,,Археология,53878773.jpg
43786725,Образец керамики с ямочно-гребенчатым орнаментом,Коллекция керамики с ямочно-гребенчатым орнаментом. Собрана в деревне Яковлевское Белозерского района.,Археология,53871829.jpg
10669780,Грузило,"глиняное, лепное, со сквозным отверстием.",Археология,7861985.jpg
43787780,Черепица  плоская с шипом (?) и закругленной хвостовой частью,,Археология,53874050.jpg
10688882,Кольцо.,"Неразъемное бронзовое, округлое в сечении.",Археология,7888034.jpg
10679760,Фрагмент плитки пола,,Археология,7876222.jpg
46773740,Бусина,янтарная.,Археология,57804522.jpg
1450167,Пряслице. Коллекция: Материалы раскопок селища Весь в 1987 г.,,Археология,53886328.jpg
43788566,Сосуд красноглиняный зеленополивной (фрагмент),,Археология,53875245.jpg
46778511,Осколок,"кремневый, серо-голубого цвета.",Археология,57810199.jpg
10335286,"Донце краснолаковой чаши с процарапанным граффито. На внутренней стороне знак «+», на внешней  - «4». III в.",,Археология,41212900.jpg
10670560,Флаконовидная буса,,Археология,27840577.jpg
43794722,"Предмет археологии. Фрагмент стенки сосуда. Западная Сибирь, Южно-таёжное Прииртышье, культовое место Усть-Тара ХХХIII, V тыс. до н. э. Автор раскопок Скандаков И. Е., 1991 г.",Фрагмент керамического сосуда аморфной формы. Цвет внешнего и внутреннего бортов светло-коричневый. Орнаментирован по внешнему борту. Два горизонтальных ряда протащенной палочки. Ниже - два горизонтальных волнообразных ряда протащенных и отступающих наколов.,Археология,53884521.jpg
10335070,Фрагмент стенки светлоглиняной узкогорлой амфоры с граффито в виде трех лучей исходящих из одной точки. III в.,,Археология,41200208.jpg
43794294,Стенка сосуда (фрагмент) с сетчатым орнаментом,,Археология,53884068.jpg
43793786,Стенка сосуда (фрагмент) с ямочным орнаментом,,Археология,53883312.jpg
46770773,Многогранник серо-коричневого цвета (осколок сосуда),,Археология,57801017.jpg
10335681,"Краснолаковое блюдо, на кольцевом поддоне, полныйпрофиль. V в.",,Археология,41211500.jpg
10334890,Дно краснолаковой тарелки с клеймом в виде ахиллесовой стопы. Тип: «Plante pedis» .  III в.,,Археология,41212896.jpg
43796358,Бусина,"стеклянная, округлой формы.",Археология,53886730.jpg
46780212,Бусина,"группа - одноцветные, отдел - круглые, тип - кольцеобразные (бисер ?). Стекло синее, полупрозрачное (?).",Археология,57812392.jpg
43793158,Скол камня,Отходы камнеобработки,Археология,53882294.jpg
46773788,Бусина,янтарная.,Археология,57804551.jpg
47728830,Гвоздь,,Археология,59109076.jpg
47728862,Предмет,,Археология,59109167.jpg
46780527,Чешуйка,"кремневая, серо-голубого цвета.",Археология,57812903.jpg
43793552,Стенка сосуда (фрагмент) с сетчатой поверхностью и ямчатым орнаментом,из керамики светло-коричневого цвета с сетчатой поверхностью и ямчатым («розетка») орнаментом,Археология,53883125.jpg
46780261,Бусина,"группа - одноцветные, отдел - круглые, тип - кольцеобразные (бисер ?). Стекло синее, полупрозрачное (?).",Археология,57812440.jpg
43795556,Сосуда фрагмент,"темноглиняного, лепного, с лощением.",Археология,53885624.jpg
10670537,Топор,,Археология,27827891.jpg
43797445,Фрагмент керамики,,Археология,53888381.jpg
46775598,Бусина,"группа - одноцветные, отдел - круглые, тип - кольцеобразные, бисер (?). Стекло зелено-голубое, полупрозрачное.",Археология,57806724.jpg
10435559,"Шило железное с насадом, имеющим ромбовидное утолщение в месте крепления ручки, четырехгранное в сечении. ",,Археология,41379696.jpg
46772395,Капля от бусины.,Капля оплавленной стеклянной бусины.,Археология,57802999.jpg
10669791,Браслет (фрагмент),"стеклянный, гладкий, темно-фиолетовый.",Археология,7861997.jpg
10669809,Игрушка - медведь (фрагмент),"красноглиняная, лепная, чернолощеная.",Археология,7862016.jpg
10619969,Накладка поясная,,Археология,27840552.jpg
10619994,Накладка поясная бронза,,Археология,27840509.jpg
43796381,Бусина,стеклянная.,Археология,53886742.jpg
43794348,Стенка сосуда (фрагмент) с ямочным орнаментом,,Археология,53884122.jpg
43793543,Стенка сосуда (фрагмент) эпохи бронзы с короткозубчатым и ямчатым орнаментом,из керамики коричневого цвета с короткозубчатым и ямчатым орнаментом,Археология,53883117.jpg
43785889,Образец керамики с ямочно-гребенчатым орнаментом,Коллекция керамики с ямочно-гребенчатым орнаментом. Собрана в деревне Яковлевское Белозерского района.,Археология,53870063.jpg
1450365,Фибула. Коллекция: Материалы раскопок селища Весь в 1988 г.,,Археология,53887152.jpg
43796035,Стенка сосуда (фрагмент) с сетчатым и ямчатым орнаментом,,Археология,53886151.jpg
43788927,Фрагмент стенки сосуда из белой глины.,,Археология,53875719.jpg
46772431,Сосуд орнаментированный.,"Сосуд керамический, орнаментированный, серо-коричневого цвета. Размеры не  соответствуют заявленным. Высота = 11,3 см, диаметр венчика = 8,9 см, диаметр выступающей части тулова = 10,9 см, диаметр донца = 5,4 см. Орнамент расположен в ленте по верхней части тулова, в которой углами нанесены параллельные линии («зубцы»).",Археология,57803016.jpg
10679786,Фрагмент донца сосуда,,Археология,7876270.jpg
49038835,"Гвоздь, фрагмент",В сечении круглый?,Археология,61027848.jpg
46771592,Сосуд лепной (фрагмент стенки).,Стенка сосуда лепного толстостенного серого цвета (фрагмент).,Археология,57802145.jpg
47728497,Осколок глиняного сосуда с кругло-ямочным крупным орнаментом,,Археология,59108650.jpg
10619985,Стрела-срезень,,Археология,27827857.jpg
46775583,Бусина,янтарная.,Археология,57806709.jpg
49039970,"Гвоздь, фрагмент",Четырехгранный,Археология,61028957.jpg
19941913,Иллюстрация к сказанию «Алтын Тууди» «В подземелье злого бога Эрлика»,"Работа графического характера. Изображен алтайский богатырь в подземном царстве бога темных и злых сил Эрлика, который сидит на своем троне. Над троном Эрлика изображены три змеиных головы, на полу возле трона – два кувшина, наверху у стены изображен крупный зверь. Богатырь стоит справа с воинским луком и стрелами за спиной. Рисунок обрамлен орнаментом геометрического характера с трех сторон. На нижней более широкой части обрамления, изображены три волнообразных линии, две изогнутых ветви, в центре изображен всадник на скачущем коне.",Графика,20648592.jpg
10600394,Графика. ICONES PLANTARUM MOSQUESIUM. DECAS I,"Лист с перечнем таблиц с названием, местом произрастания, употреблением во врачебной науке, экономии и прочих художествах и искусствах  растений Московских земель",Графика,7766794.jpg
10603409,Графика. Карамзин Н.М.,"Портрет писателя, историка и государственного деятеля Николая Михайловича Карамзина (1766-1826). Выполнен с натуры  в натуральную величину. Изображен погрудно 3/4 вправо с орденом Святого Владимира III степени и Святой Анны 1-й степени. Лист 35, тетрадь 7 из серии ""Современники. Собранiе литографированных портретовъ""",Графика,7771386.jpg
17937673,Petrus wandelt auf dem Meer,,Графика,17879327.jpg
10682036,"Воинский мундир. Этюд к мозаике ""Суворов""",,Графика,7879125.jpg
21615990, Плакат «Мир - народам»,"Изображен матрос с винтовкой. Слева надпись: Мир народам / Власть Советам / Земля крестьянам. Внизу текст: Победа Октября - величайший поворот в мировой истории. Она создала условия для построения социализма в крупнейшей стране мира, положила начало освобождения человечества от эксплуатации и угнетения.",Графика,22972124.jpg
19941817,Рисунок «Старушка-алтайка»,"Раскрашенный рисунок сделан на бумаге. Сверху фон черный. Изображение головы – анфас. По обе стороны лица – две черные короткие пряди волос, глаза азиатского типа, брови черные, дугообразные, нос прямой, крупный, губы плотно сжаты. На голове – алтайская шапочка округлой формы сине-зеленого цвета, по низу – полоса красного цвета.  Нижняя часть рисунка не прорисована.",Графика,20648515.jpg
4278652,"Тарок XXI, из колоды карт игральных ""Тарок с животными""",,Графика,22968669.jpg
19941042,"Открытка. Да здравствует свобода! 1905 / Набор открыток. Из истории русской революционной открытки. - Москва: издательство ""Изобразительное искусство"", 1974 г","1 лист, черно-серая печать, с горизонтальным  размещением изображения. Лицевая сторона - графическое изображение. Человек в военной форме держит в руках винтовку со штыком. На штык надета листовка с текстом ""Манифестъ"" и фуражка. Слева - разбегающаяся толпа. Вверху справа текст ""Да здравствуетъ свобода!"" Оборотная сторона - текст",Графика,20647842.jpg
4277819,"Король бубен, из колоды карт игральных, глазетных.",,Графика,22969164.jpg
15995779,Танковая атака при взаимодействии с авиацией. Рисунок,,Графика,15206508.jpg
4193152,"Девятка червей, из колоды карт игральных ""Русский стиль""",,Графика,22969819.jpg
7313694,"Семерка червей, из колоды карт игральных, сатирических.",,Графика,22969974.jpg
4277816,"Девятка треф, из колоды карт игральных, глазетных.",,Графика,22969258.jpg
4278904,"Валет треф, из колоды карт игральных ""Казахские сказки""",,Графика,22968474.jpg
17074361,[Отдых]. Рисунок,Студия военных художников им. М.Б. Грекова,Графика,16688559.jpg
4278139,"Девятка треф, из колоды карт игральных, антирелигиозных.",,Графика,22969539.jpg
10584321,Графика. Портрет графа Якова Велимовича Брюса 1670-1739.,"В овале погрудное изображение,3/4 вправо.В длинном парике с орденской лентой и звездой Андрея Первозванного и Орденом Белого Орла.",Графика,7744457.jpg
10584322,Графика.  Портрет графа Михаила Ларионовича Воронцова (1714-1767).,"Из собрания портретов, издаваемых Платоном Бекетовым. В овале. Поясное изображение 3/4 влево. В коротком парике, в расшитом кафтане с орденской звездой слева и лентой  через правое плечо.",Графика,7744459.jpg
4945417,"Валет бубен, из колоды карт игральных, двухфигурных.",,Графика,22971329.jpg
10501460,Фигура на фоне пейзажа,,Графика,7634981.jpg
22924782,"Плакат. Окно ТАСС «Шахтёр, металлург! Своим стахановским трудом куёшь победу над врагом!»",,Графика,24798313.jpg
15889967,Старый город Ташкент. Рисунок.,,Графика,15065042.jpg
11734688,"Дом Молчанова в усадьбе князя А.Б. Куракина Надеждино. Серии гравюр ""Виды в селе Надеждино князя А.Б. Куракина"". Гравюра","изображает часть сада на первом плане спиной к зрителю стоит мужчина, рядом с ним собака правее крытая скамья в глубине сада низкая постройка с соломенной кровлей.",Графика,9297231.jpg
15995853,Сброс десантника в Варшаву. Графическая работа.,,Графика,15206680.jpg
22579185,"Федор Никитич (патриарх Филарет), гравюра",,Графика,25787711.jpg
10682008,"Рог изобилия.Зарисовка к декору магазина ""Гастроном"" на Кудриской площади, бывшей пл. Восстания",,Графика,7879092.jpg
6290319,Картина. Монтаж оборудования,,Графика,9308005.jpg
4946307,"Карта 43-51-60-2, из колоды карт гадальных ""Русская ворожея""",,Графика,22969656.jpg
19074424,"открытка. ""Русские типы. Масляница""",,Графика,19462291.jpg
10684502,"Набросок с картины Рафаэля ""Донна Велата"". ",,Графика,7882613.jpg
19941942,Эскиз,"Рисунок сделан на листе белой бумаги. Изображен герой эпоса – алтайский богатырь. Изображение дано в полный рост в движении, в правой руке держит боевой меч, левая направлена вперед. Одет в воинскую одежду: на голове – шапка с отворотом и кистью, богатырские доспехи, на ногах сапоги.",Графика,20648605.jpg
4408665,"Карта 7 - Appui, из колоды карт гадальных. Таро ""Большой Этейла I"".",,Графика,22970741.jpg
10682046,"Наброски к декору магазина ""Гастроном"" на Кудриской площади, бывшей пл. Восстания",,Графика,7879139.jpg
14696018,Графика. На Малой Неве,,Графика,49272363.jpg
4197744,"В Гурзуфе, рисунок",,Графика,24795151.jpg
10501454,Женская голова,,Графика,7634959.jpg
10682041,"Птица.Зарисовка к декору магазина ""Гастроном"" на Кудриской площади, бывшей пл. Восстания",,Графика,7879133.jpg
9279329,"Левиафан. Иллюстрация к книге ""Physica sacra"" (Johann Jakob Scheuzers, Нюренберг, 1731-1735). Гравюра",,Графика,5816679.jpg
6290331,Картина. Завод имени Ленина,,Графика,9307999.jpg
9279325,"Портрет Жанны Арагонской, королевы Сицилии. Гравюра",,Графика,5816675.jpg
13250362,Саша. Эскиз,Лист из альбома.,Графика,14130844.jpg
34944355,Донауров П.М.,,Графика,41571807.jpg
4193158,"Тройка бубен, из колоды карт игральных ""Русский стиль""",,Графика,22969791.jpg
12542671,Великие Луки. Рисунок,,Графика,14176877.jpg
4945648,"Четверка бубен, из колоды карт игральных ""Швейцарский исторический костюм""",,Графика,22968193.jpg
